,s2
0.0,-0.19866933079506127
0.06314759102693052,-0.2601210738033756
0.12629518205386103,-0.32053589790837134
0.18944277308079155,-0.37967297189926086
0.25259036410772207,-0.4372965580520247
0.3157379551346526,-0.4931769518491266
0.3788855461615831,-0.5470913976491038
0.4420331371885136,-0.5988249766558954
0.5051807282154441,-0.6481714636482062
0.5683283192423747,-0.6949341490537343
0.6314759102693052,-0.7389266230912263
0.6946235012962356,-0.7799735188545479
0.7577710923231662,-0.8179112113766128
0.8209186833500968,-0.8525884698864987
0.8840662743770272,-0.8838670606596623
0.9472138654039577,-0.9116222980581121
1.0103614564308883,-0.9357435415639404
1.0735090474578188,-0.956134636824879
1.1366566384847494,-0.9727142989537549
1.1998042295116798,-0.9854164365538943
1.2629518205386103,-0.9941904151788152
1.326099411565541,-0.9990012591759865
1.3892470025924712,-0.9998297911100366
1.4523945936194018,-0.9966727082096375
1.5155421846463324,-0.9895425955333191
1.578689775673263,-0.9784678758017356
1.6418373667001935,-0.9634926960963621
1.7049849577271239,-0.9446767518762788
1.7681325487540545,-0.9220950490145596
1.831280139780985,-0.8958376048028606
1.8944277308079154,-0.8660090891160906
1.957575321834846,-0.8327284071675835
2.0207229128617765,-0.796128225518043
2.083870503888707,-0.7563544432277116
2.1470180949156377,-0.7135656102599207
2.210165685942568,-0.6679322954544301
2.273313276969499,-0.6196364065899923
2.336460867996429,-0.5688704652465946
2.3996084590233595,-0.5158368393579608
2.4627560500502903,-0.46074693651360743
2.5259036410772207,-0.4038203612261823
2.589051232104151,-0.3452840395234493
2.652198823131082,-0.2853713143545878
2.715346414158012,-0.22432101541673988
2.7784940051849425,-0.16237650710978416
2.8416415962118733,-0.0997847184144492
2.9047891872388036,-0.03679515856096211
2.9679367782657344,0.026341077587930008
3.031084369292665,0.08937231047474362
3.094231960319595,0.15204727911579827
3.157379551346526,0.21411614270120263
3.2205271423734563,0.27533147653361106
3.283674733400387,0.33544925833564265
3.3468223244273174,0.39422984099426484
3.4099699154542478,0.4514389078644798
3.4731175064811786,0.5068484068242061
3.536265097508109,0.5602374593569339
3.5994126885350393,0.6113932410382805
3.66256027956197,0.6601118299165827
3.7257078705889004,0.706199019405604
3.7888554616158308,0.7494710924489636
3.8520030526427615,0.7897555538702103
3.915150643669692,0.826891817989194
3.9782982346966227,0.8607318487636975
4.041445825723553,0.8911407499045186
4.104593416750483,0.9179973026116545
4.167741007777414,0.9411944487879932
4.230888598804345,0.9606397178042949
4.294036189831275,0.9762555951142426
4.357183780858206,0.9879798312501646
4.420331371885136,0.9957656899676706
4.483478962912066,0.999582134550032
4.546626553938998,0.9994139515296391
4.609774144965928,0.9952618113333455
4.672921735992858,0.9871422656099501
4.736069327019789,0.9750876812504694
4.799216918046719,0.9591461113642161
4.862364509073649,0.93938110372501
4.925512100100581,0.9158714474511082
4.988659691127511,0.8887108589286712
5.051807282154441,0.8580076082307563
5.114954873181372,0.8238840875210445
5.178102464208302,0.7864763231627754
5.241250055235233,0.7459334334777636
5.304397646262164,0.7024170343170253
5.367545237289094,0.6561005948125832
5.430692828316024,0.6071687458786291
5.493840419342955,0.5558165442185378
5.556988010369885,0.5022486947716264
5.620135601396816,0.4466787346992202
5.683283192423747,0.3893281821629001
5.746430783450677,0.3304256532881126
5.809578374477607,0.2702059508332427
5.872725965504538,0.20890912819694496
5.935873556531469,0.1467795324948762
5.999021147558399,0.08406483052041146
6.06216873858533,0.021015021472166027
6.12531632961226,-0.04211855961614932
6.18846392063919,-0.10508424377090221
6.2516115116661215,-0.1676310313048896
6.314759102693052,-0.22950959237570612
6.377906693719982,-0.2904732608876548
6.4410542847469126,-0.35027901777514814
6.504201875773843,-0.4086884597479889
6.567349466800774,-0.46546874963682033
6.6304970578277045,-0.5203935445503882
6.693644648854635,-0.5732438981446901
6.756792239881565,-0.623809133407333
6.8199398309084955,-0.6718876824779061
6.883087421935426,-0.7172878901565977
6.946235012962357,-0.7598287778980376
7.0093826039892875,-0.7993407652448705
7.072530195016218,-0.8356663458252058
7.135677786043148,-0.8686607152192117
7.1988253770700785,-0.8981923481920133
7.26197296809701,-0.9241435229918615
7.32512055912394,-0.9464107906235633
7.3882681501508705,-0.9649053872265242
7.451415741177801,-0.979553587913536
7.514563332204731,-0.990297000659801
7.5777109232316615,-0.9970927990706715
7.640858514258593,-0.9999138931002226
7.704006105285523,-0.9987490370401213
7.7671536963124534,-0.9936028743483184
7.830301287339384,-0.9844959191388638
7.893448878366314,-0.9714644744066294
7.956596469393245,-0.9545604873129218
8.019744060420175,-0.9338513421088634
8.082891651447106,-0.9094195915219958
8.146039242474037,-0.8813626276768931
8.209186833500967,-0.849792293861591
8.272334424527898,-0.8148344386874236
8.335482015554827,-0.7766284144195474
8.398629606581759,-0.7353265214779332
8.46177719760869,-0.6910934013232246
8.52492478863562,-0.6441053801475677
8.58807237966255,-0.5945497659866912
8.65121997068948,-0.542624102055142
8.714367561716411,-0.4885353792810676
8.777515152743343,-0.4324992111796667
8.840662743770272,-0.37473897435448
8.903810334797203,-0.31548491805270484
8.966957925824133,-0.2549732463241681
9.030105516851064,-0.19344517644268922
9.093253107877995,-0.13114597734328295
9.156400698904925,-0.06832399190821706
9.219548289931856,-0.005229646999445761
9.282695880958785,0.057885544816310815
9.345843471985717,0.12076998787045676
9.408991063012646,0.18317300632664354
9.472138654039577,0.24484584344819318
9.535286245066509,0.30554265321540647
9.598433836093438,0.36502148033993387
9.66158142712037,0.4230452247695187
9.724729018147299,0.4793825868383463
9.78787660917423,0.53380898929538
9.851024200201161,0.5861074725351507
9.91417179122809,0.6360695594623781
9.977319382255022,0.6834960865428436
10.040466973281951,0.7281979977276487
